,Temperature F,Number of Rides,Weather Description,index1,weekday
2014-07-01 01:00:00,80.22200000000004,33,broken clouds,2014-07-01 01:00:00,Tuesday
2014-07-01 02:00:00,77.43200000000002,21,few clouds,2014-07-01 02:00:00,Tuesday
2014-07-01 03:00:00,76.29800000000003,15,few clouds,2014-07-01 03:00:00,Tuesday
2014-07-01 04:00:00,75.59600000000005,19,few clouds,2014-07-01 04:00:00,Tuesday
2014-07-01 07:00:00,74.192,28,few clouds,2014-07-01 07:00:00,Tuesday
2014-07-01 08:00:00,73.076,62,scattered clouds,2014-07-01 08:00:00,Tuesday
2014-07-01 09:00:00,72.78800000000004,62,scattered clouds,2014-07-01 09:00:00,Tuesday
2014-07-01 12:00:00,73.02200000000003,45,sky is clear,2014-07-01 12:00:00,Tuesday
2014-07-01 16:00:00,84.57799999999996,47,broken clouds,2014-07-01 16:00:00,Tuesday
2014-07-01 17:00:00,87.13399999999999,41,sky is clear,2014-07-01 17:00:00,Tuesday
2014-07-01 18:00:00,88.44800000000002,36,scattered clouds,2014-07-01 18:00:00,Tuesday
2014-07-02 01:00:00,85.69399999999997,34,few clouds,2014-07-02 01:00:00,Wednesday
2014-07-02 02:00:00,83.48000000000005,19,sky is clear,2014-07-02 02:00:00,Wednesday
2014-07-02 03:00:00,83.03000000000004,19,sky is clear,2014-07-02 03:00:00,Wednesday
2014-07-02 04:00:00,80.47400000000002,20,sky is clear,2014-07-02 04:00:00,Wednesday
2014-07-02 07:00:00,78.29600000000005,40,sky is clear,2014-07-02 07:00:00,Wednesday
2014-07-02 08:00:00,76.98200000000001,64,sky is clear,2014-07-02 08:00:00,Wednesday
2014-07-02 09:00:00,77.05399999999995,71,sky is clear,2014-07-02 09:00:00,Wednesday
2014-07-02 12:00:00,76.04600000000005,53,scattered clouds,2014-07-02 12:00:00,Wednesday
2014-07-02 16:00:00,87.72799999999997,41,sky is clear,2014-07-02 16:00:00,Wednesday
2014-07-02 17:00:00,89.99600000000005,39,scattered clouds,2014-07-02 17:00:00,Wednesday
2014-07-02 18:00:00,90.59000000000002,54,scattered clouds,2014-07-02 18:00:00,Wednesday
2014-07-03 01:00:00,74.37200000000004,33,mist,2014-07-03 01:00:00,Thursday
2014-07-03 02:00:00,74.91199999999995,30,thunderstorm,2014-07-03 02:00:00,Thursday
2014-07-03 03:00:00,73.70600000000003,24,mist,2014-07-03 03:00:00,Thursday
2014-07-03 04:00:00,73.70600000000003,9,mist,2014-07-03 04:00:00,Thursday
2014-07-03 07:00:00,73.94000000000003,52,mist,2014-07-03 07:00:00,Thursday
2014-07-03 08:00:00,72.91400000000003,71,mist,2014-07-03 08:00:00,Thursday
2014-07-03 09:00:00,73.81400000000004,67,mist,2014-07-03 09:00:00,Thursday
2014-07-03 12:00:00,75.18200000000002,43,mist,2014-07-03 12:00:00,Thursday
2014-07-03 16:00:00,84.25399999999995,49,light rain,2014-07-03 16:00:00,Thursday
2014-07-03 17:00:00,85.85600000000002,36,light rain,2014-07-03 17:00:00,Thursday
2014-07-03 18:00:00,87.09800000000003,41,moderate rain,2014-07-03 18:00:00,Thursday
2014-07-04 01:00:00,70.71799999999999,51,haze,2014-07-04 01:00:00,Friday
2014-07-04 02:00:00,71.58200000000002,46,mist,2014-07-04 02:00:00,Friday
2014-07-04 03:00:00,71.63599999999997,31,overcast clouds,2014-07-04 03:00:00,Friday
2014-07-04 04:00:00,71.6,28,light rain,2014-07-04 04:00:00,Friday
2014-07-04 07:00:00,72.08599999999997,23,moderate rain,2014-07-04 07:00:00,Friday
2014-07-04 08:00:00,71.61799999999998,25,light rain,2014-07-04 08:00:00,Friday
2014-07-04 09:00:00,71.708,16,heavy intensity rain,2014-07-04 09:00:00,Friday
2014-07-04 12:00:00,72.24800000000002,30,heavy intensity rain,2014-07-04 12:00:00,Friday
2014-07-04 16:00:00,74.55199999999998,42,heavy intensity rain,2014-07-04 16:00:00,Friday
2014-07-04 17:00:00,72.69800000000002,56,light rain,2014-07-04 17:00:00,Friday
2014-07-04 18:00:00,70.88000000000004,43,light rain,2014-07-04 18:00:00,Friday
2014-07-05 01:00:00,72.30199999999998,57,moderate rain,2014-07-05 01:00:00,Saturday
2014-07-05 02:00:00,70.592,76,broken clouds,2014-07-05 02:00:00,Saturday
2014-07-05 03:00:00,68.86400000000003,48,moderate rain,2014-07-05 03:00:00,Saturday
2014-07-05 04:00:00,68.54000000000002,32,sky is clear,2014-07-05 04:00:00,Saturday
2014-07-05 07:00:00,66.46999999999996,24,sky is clear,2014-07-05 07:00:00,Saturday
2014-07-05 08:00:00,65.73200000000001,33,sky is clear,2014-07-05 08:00:00,Saturday
2014-07-05 09:00:00,65.03000000000004,44,sky is clear,2014-07-05 09:00:00,Saturday
2014-07-05 12:00:00,64.25600000000003,38,few clouds,2014-07-05 12:00:00,Saturday
2014-07-05 16:00:00,74.71400000000003,62,scattered clouds,2014-07-05 16:00:00,Saturday
2014-07-05 17:00:00,76.51400000000004,50,scattered clouds,2014-07-05 17:00:00,Saturday
2014-07-05 18:00:00,77.61199999999995,55,scattered clouds,2014-07-05 18:00:00,Saturday
2014-07-06 01:00:00,79.73599999999996,63,few clouds,2014-07-06 01:00:00,Sunday
2014-07-06 02:00:00,76.00999999999998,59,few clouds,2014-07-06 02:00:00,Sunday
2014-07-06 03:00:00,73.52599999999998,57,sky is clear,2014-07-06 03:00:00,Sunday
2014-07-06 04:00:00,72.40999999999998,39,sky is clear,2014-07-06 04:00:00,Sunday
2014-07-06 07:00:00,66.99199999999999,25,sky is clear,2014-07-06 07:00:00,Sunday
2014-07-06 08:00:00,65.91199999999995,40,sky is clear,2014-07-06 08:00:00,Sunday
2014-07-06 09:00:00,64.45399999999995,29,mist,2014-07-06 09:00:00,Sunday
2014-07-06 12:00:00,64.54399999999997,37,scattered clouds,2014-07-06 12:00:00,Sunday
2014-07-06 16:00:00,82.65199999999997,51,scattered clouds,2014-07-06 16:00:00,Sunday
2014-07-06 17:00:00,84.092,36,scattered clouds,2014-07-06 17:00:00,Sunday
2014-07-06 18:00:00,84.45199999999997,30,scattered clouds,2014-07-06 18:00:00,Sunday
2014-07-07 01:00:00,79.37599999999999,56,broken clouds,2014-07-07 01:00:00,Monday
2014-07-07 02:00:00,77.93599999999996,26,scattered clouds,2014-07-07 02:00:00,Monday
2014-07-07 03:00:00,74.71400000000003,17,scattered clouds,2014-07-07 03:00:00,Monday
2014-07-07 04:00:00,73.292,17,broken clouds,2014-07-07 04:00:00,Monday
2014-07-07 07:00:00,73.292,41,broken clouds,2014-07-07 07:00:00,Monday
2014-07-07 08:00:00,72.93200000000002,71,overcast clouds,2014-07-07 08:00:00,Monday
2014-07-07 09:00:00,72.21199999999996,51,overcast clouds,2014-07-07 09:00:00,Monday
2014-07-07 12:00:00,75.092,36,broken clouds,2014-07-07 12:00:00,Monday
2014-07-07 16:00:00,86.97200000000004,41,scattered clouds,2014-07-07 16:00:00,Monday
2014-07-07 17:00:00,87.31400000000004,35,scattered clouds,2014-07-07 17:00:00,Monday
2014-07-07 18:00:00,90.21199999999996,32,scattered clouds,2014-07-07 18:00:00,Monday
2014-07-08 01:00:00,86.95399999999995,45,scattered clouds,2014-07-08 01:00:00,Tuesday
